trip_id,route_id,stop_id,arrival_delay,departure_delay,event_ts
6424169-16_A_50_1603_16:29-SETP2025-16-Semaine-35,16,792,0,0,1970-01-01 01:00:00
6424169-16_A_50_1603_16:29-SETP2025-16-Semaine-35,16,1327,0,0,1970-01-01 01:00:00
6424169-16_A_50_1603_16:29-SETP2025-16-Semaine-35,16,1344,0,0,1970-01-01 01:00:00
6424169-16_A_50_1603_16:29-SETP2025-16-Semaine-35,16,1112,0,0,1970-01-01 01:00:00
6424169-16_A_50_1603_16:29-SETP2025-16-Semaine-35,16,1242,0,0,1970-01-01 01:00:00
6424169-16_A_50_1603_16:29-SETP2025-16-Semaine-35,16,1255,0,0,1970-01-01 01:00:00
6424169-16_A_50_1603_16:29-SETP2025-16-Semaine-35,16,482,0,0,1970-01-01 01:00:00
6424169-16_A_50_1603_16:29-SETP2025-16-Semaine-35,16,706,0,0,1970-01-01 01:00:00
6424169-16_A_50_1603_16:29-SETP2025-16-Semaine-35,16,937,0,0,1970-01-01 01:00:00
6424169-16_A_50_1603_16:29-SETP2025-16-Semaine-35,16,1247,0,0,1970-01-01 01:00:00
6424169-16_A_50_1603_16:29-SETP2025-16-Semaine-35,16,573,0,0,1970-01-01 01:00:00
6424169-16_A_50_1603_16:29-SETP2025-16-Semaine-35,16,334,0,0,1970-01-01 01:00:00
6424169-16_A_50_1603_16:29-SETP2025-16-Semaine-35,16,1039,0,0,1970-01-01 01:00:00
6424169-16_A_50_1603_16:29-SETP2025-16-Semaine-35,16,260,0,0,1970-01-01 01:00:00
6446585-05_R_50_0501_16:40-SETP2025-05-L-Ma-J-V-38,05,1145,0,0,1970-01-01 01:00:00
6446585-05_R_50_0501_16:40-SETP2025-05-L-Ma-J-V-38,05,299,0,0,1970-01-01 01:00:00
6446585-05_R_50_0501_16:40-SETP2025-05-L-Ma-J-V-38,05,230,0,0,1970-01-01 01:00:00
6446585-05_R_50_0501_16:40-SETP2025-05-L-Ma-J-V-38,05,1211,0,0,1970-01-01 01:00:00
6446585-05_R_50_0501_16:40-SETP2025-05-L-Ma-J-V-38,05,73,0,0,1970-01-01 01:00:00
6446585-05_R_50_0501_16:40-SETP2025-05-L-Ma-J-V-38,05,199,0,0,1970-01-01 01:00:00
6446585-05_R_50_0501_16:40-SETP2025-05-L-Ma-J-V-38,05,66,0,0,1970-01-01 01:00:00
6446585-05_R_50_0501_16:40-SETP2025-05-L-Ma-J-V-38,05,1094,0,0,1970-01-01 01:00:00
6446585-05_R_50_0501_16:40-SETP2025-05-L-Ma-J-V-38,05,46,0,0,1970-01-01 01:00:00
6446585-05_R_50_0501_16:40-SETP2025-05-L-Ma-J-V-38,05,1104,0,0,1970-01-01 01:00:00
6446585-05_R_50_0501_16:40-SETP2025-05-L-Ma-J-V-38,05,378,0,0,1970-01-01 01:00:00
6446585-05_R_50_0501_16:40-SETP2025-05-L-Ma-J-V-38,05,729,0,0,1970-01-01 01:00:00
6446585-05_R_50_0501_16:40-SETP2025-05-L-Ma-J-V-38,05,1164,0,0,1970-01-01 01:00:00
6446585-05_R_50_0501_16:40-SETP2025-05-L-Ma-J-V-38,05,966,0,0,1970-01-01 01:00:00
6446585-05_R_50_0501_16:40-SETP2025-05-L-Ma-J-V-38,05,1160,0,0,1970-01-01 01:00:00
6446585-05_R_50_0501_16:40-SETP2025-05-L-Ma-J-V-38,05,322,0,0,1970-01-01 01:00:00
6446585-05_R_50_0501_16:40-SETP2025-05-L-Ma-J-V-38,05,2923,0,0,1970-01-01 01:00:00
6446585-05_R_50_0501_16:40-SETP2025-05-L-Ma-J-V-38,05,1434,0,0,1970-01-01 01:00:00
4601847-44_A_50_4401_17:35-RESEAU2023-44-Semaine-88,44,4145,0,0,1970-01-01 01:00:00
4601847-44_A_50_4401_17:35-RESEAU2023-44-Semaine-88,44,4148,0,0,1970-01-01 01:00:00
4601847-44_A_50_4401_17:35-RESEAU2023-44-Semaine-88,44,4297,0,0,1970-01-01 01:00:00
4601847-44_A_50_4401_17:35-RESEAU2023-44-Semaine-88,44,4239,0,0,1970-01-01 01:00:00
4601847-44_A_50_4401_17:35-RESEAU2023-44-Semaine-88,44,4240,0,0,1970-01-01 01:00:00
4601847-44_A_50_4401_17:35-RESEAU2023-44-Semaine-88,44,4129,0,0,1970-01-01 01:00:00
4601847-44_A_50_4401_17:35-RESEAU2023-44-Semaine-88,44,4241,0,0,1970-01-01 01:00:00
4601847-44_A_50_4401_17:35-RESEAU2023-44-Semaine-88,44,4135,0,0,1970-01-01 01:00:00
6414295-07_R_97_0703_16:50-SETP2025-07-L-Ma-J-V-41,07,701,0,0,1970-01-01 01:00:00
6414295-07_R_97_0703_16:50-SETP2025-07-L-Ma-J-V-41,07,909,0,0,1970-01-01 01:00:00
6414295-07_R_97_0703_16:50-SETP2025-07-L-Ma-J-V-41,07,86,0,0,1970-01-01 01:00:00
6414295-07_R_97_0703_16:50-SETP2025-07-L-Ma-J-V-41,07,313,0,0,1970-01-01 01:00:00
6414295-07_R_97_0703_16:50-SETP2025-07-L-Ma-J-V-41,07,1148,0,0,1970-01-01 01:00:00
6414295-07_R_97_0703_16:50-SETP2025-07-L-Ma-J-V-41,07,118,0,0,1970-01-01 01:00:00
6414295-07_R_97_0703_16:50-SETP2025-07-L-Ma-J-V-41,07,1457,0,0,1970-01-01 01:00:00
6414295-07_R_97_0703_16:50-SETP2025-07-L-Ma-J-V-41,07,1250,0,0,1970-01-01 01:00:00
6414295-07_R_97_0703_16:50-SETP2025-07-L-Ma-J-V-41,07,55,0,0,1970-01-01 01:00:00
6414295-07_R_97_0703_16:50-SETP2025-07-L-Ma-J-V-41,07,2870,0,0,1970-01-01 01:00:00
6414295-07_R_97_0703_16:50-SETP2025-07-L-Ma-J-V-41,07,2766,0,0,1970-01-01 01:00:00
6414295-07_R_97_0703_16:50-SETP2025-07-L-Ma-J-V-41,07,556,0,0,1970-01-01 01:00:00
6414295-07_R_97_0703_16:50-SETP2025-07-L-Ma-J-V-41,07,2,0,0,1970-01-01 01:00:00
6414295-07_R_97_0703_16:50-SETP2025-07-L-Ma-J-V-41,07,249,0,0,1970-01-01 01:00:00
6414295-07_R_97_0703_16:50-SETP2025-07-L-Ma-J-V-41,07,26,0,0,1970-01-01 01:00:00
6414295-07_R_97_0703_16:50-SETP2025-07-L-Ma-J-V-41,07,775,0,0,1970-01-01 01:00:00
6414295-07_R_97_0703_16:50-SETP2025-07-L-Ma-J-V-41,07,1009,0,0,1970-01-01 01:00:00
6414295-07_R_97_0703_16:50-SETP2025-07-L-Ma-J-V-41,07,655,0,0,1970-01-01 01:00:00
6414295-07_R_97_0703_16:50-SETP2025-07-L-Ma-J-V-41,07,466,0,0,1970-01-01 01:00:00
6414295-07_R_97_0703_16:50-SETP2025-07-L-Ma-J-V-41,07,640,0,0,1970-01-01 01:00:00
6414295-07_R_97_0703_16:50-SETP2025-07-L-Ma-J-V-41,07,869,0,0,1970-01-01 01:00:00
6414295-07_R_97_0703_16:50-SETP2025-07-L-Ma-J-V-41,07,1185,0,0,1970-01-01 01:00:00
6414295-07_R_97_0703_16:50-SETP2025-07-L-Ma-J-V-41,07,1070,0,0,1970-01-01 01:00:00
6414295-07_R_97_0703_16:50-SETP2025-07-L-Ma-J-V-41,07,570,0,0,1970-01-01 01:00:00
6414295-07_R_97_0703_16:50-SETP2025-07-L-Ma-J-V-41,07,1087,0,0,1970-01-01 01:00:00
6414295-07_R_97_0703_16:50-SETP2025-07-L-Ma-J-V-41,07,851,0,0,1970-01-01 01:00:00
6414295-07_R_97_0703_16:50-SETP2025-07-L-Ma-J-V-41,07,1065,0,0,1970-01-01 01:00:00
6429219-15_R_99_1506_17:16-SETP2025-15-Semaine-11,15,8148,0,0,1970-01-01 01:00:00
6429219-15_R_99_1506_17:16-SETP2025-15-Semaine-11,15,8124,0,0,1970-01-01 01:00:00
6429219-15_R_99_1506_17:16-SETP2025-15-Semaine-11,15,8095,0,0,1970-01-01 01:00:00
